index,datahora,diasemchuva,precipitacao,riscofogo,latitude,longitude,bioma
0,2018/12/05 17:48:00,2.0,0.0,,-2.60473,-65.51289,Amazonia
1,2018/12/05 17:48:00,2.0,0.0,,-2.60036,-65.50647,Amazonia
2,2018/12/05 17:48:00,2.0,0.13,,-2.59704,-65.50697,Amazonia
3,2018/12/05 17:48:00,0.0,0.28,,-2.5409900000000003,-65.37841,Amazonia
4,2018/12/16 17:25:00,3.0,0.0,,-3.006,-57.482,Amazonia
5,2018/12/16 17:42:00,4.0,0.0,,-3.854530000000001,-57.94019,Amazonia
6,2018/12/16 17:42:00,3.0,0.15,,-2.97066,-57.18958000000001,Amazonia
7,2018/12/17 17:24:00,4.0,0.0,,-3.19621,-57.51638000000001,Amazonia
8,2018/12/17 17:24:00,4.0,0.0,,-3.19565,-57.51273000000001,Amazonia
9,2018/12/17 17:24:00,2.0,0.0,,-3.17093,-57.90296,Amazonia
10,2018/12/17 17:24:00,4.0,0.0,,-2.85718,-57.35216,Amazonia
11,2018/12/17 17:18:00,4.0,0.0,,-3.5807800000000003,-57.91226999999999,Amazonia
12,2018/12/18 17:10:00,4.0,0.53,,-3.14,-57.787,Amazonia
13,2018/12/27 17:05:00,0.0,0.0,,-2.823,-56.71,Amazonia
14,2018/12/27 17:36:00,0.0,0.0,,-2.91955,-57.16141999999999,Amazonia
15,2018/12/27 17:36:00,3.0,0.0,,-2.91235,-57.45318,Amazonia
16,2018/12/27 17:36:00,3.0,0.0,,-2.90829,-57.4538,Amazonia
17,2018/12/27 17:36:00,3.0,0.0,,-2.88733,-57.47869,Amazonia
18,2018/12/27 17:36:00,3.0,0.0,,-2.85412,-57.27016,Amazonia
19,2018/12/27 17:36:00,3.0,0.0,,-2.85354,-57.26651,Amazonia
20,2018/12/27 17:36:00,3.0,0.0,,-2.83887,-57.17451,Amazonia
21,2018/12/27 17:36:00,0.0,0.0,,-2.81648,-56.70607,Amazonia
22,2018/12/27 17:36:00,3.0,0.0,,-2.80609,-57.27485,Amazonia
23,2018/12/28 17:12:00,0.0,2.85,,-3.03382,-56.8262,Amazonia
24,2018/12/28 17:12:00,4.0,0.8,,-2.9073,-57.21445,Amazonia
25,2018/12/28 17:12:00,4.0,0.08,,-2.90235,-57.49507,Amazonia
